SalesOrderNumber,SalesOrderLineNumber,OrderDate,DueDate,ShipDate,ClienteID,NombreCliente,TerritorioID,Territorio,Pais,ProductoID,Producto,Color,StandardCost,ListPrice,Subcategoria,Categoria,VendedorID,NombreVendedor,OrderQty,UnitPrice,UnitPriceDiscount,LineTotal
SO71009,3,2026-02-07,2026-02-17,2026-02-12,10019,Laura Dominguez,10,United Kingdom,United Kingdom,32,Touring-3000 42,,968.9793,1492.9053,Touring Bikes,Bikes,4,Carmen Ortega,3,1492.9053,0,4478.7159
SO71010,1,2023-07-09,2023-07-30,2023-07-14,10003,Cristina Gil,1,Northwest,United States,41,LL Road Front Wheel,Black,1035.4069,1440.9807,Wheels,Components,1,Jose Antonio Lopez,3,1440.9807,0,4322.9421
SO71010,2,2023-07-09,2023-07-30,2023-07-14,10003,Cristina Gil,1,Northwest,United States,48,Men's Bib-Shorts,Blue,530.1968,833.5936,Shorts,Clothing,1,Jose Antonio Lopez,4,833.5936,0.05,3167.6557
SO71011,1,2025-05-25,2025-06-01,2025-05-27,10005,Ruben Fernandez,3,Central,United States,38,Rear Brakes,Multi,707.7344,1301.3068,Brakes,Components,3,Alberto Fernandez,5,1301.3068,0,6506.534
SO71011,2,2025-05-25,2025-06-01,2025-05-27,10005,Ruben Fernandez,3,Central,United States,28,Touring-2000 38,Silver,464.6547,879.9231,Touring Bikes,Bikes,3,Alberto Fernandez,2,879.9231,0,1759.8462
SO71011,3,2025-05-25,2025-06-01,2025-05-27,10005,Ruben Fernandez,3,Central,United States,20,Road-350 42,Yellow,798.597,1408.5981,Road Bikes,Bikes,3,Alberto Fernandez,3,1408.5981,0,4225.7943
SO71012,1,2025-01-02,2025-01-12,2025-01-05,10007,Marta Romero,6,Canada,Canada,60,Rear Light,Yellow,922.5138,1270.3337,Lights,Accessories,6,Silvia Castro,2,1270.3337,0,2540.6674
SO71012,2,2025-01-02,2025-01-12,2025-01-05,10007,Marta Romero,6,Canada,Canada,52,Classic Cap,Multi,616.5805,875.1415,Caps,Clothing,6,Silvia Castro,2,875.1415,0.02,1715.2773
SO71013,1,2023-02-20,2023-03-02,2023-02-25,10027,David Sanchez,4,Southwest,United States,51,Full-Finger Gloves,Black,1046.5645,1547.9389,Gloves,Clothing,4,Carmen Ortega,6,1547.9389,0,9287.6334
SO71013,2,2023-02-20,2023-03-02,2023-02-25,10027,David Sanchez,4,Southwest,United States,25,Touring-1000 38,Blue,846.6571,1447.8925,Touring Bikes,Bikes,4,Carmen Ortega,1,1447.8925,0.02,1418.9346
SO71014,1,2024-03-31,2024-04-10,2024-04-07,10023,Ana Ramos,5,Southeast,United States,2,Mountain-100 42,Multi,305.1968,422.3078,Mountain Bikes,Bikes,5,Francisco Jimenez,6,422.3078,0,2533.8468
SO71014,2,2024-03-31,2024-04-10,2024-04-07,10023,Ana Ramos,5,Southeast,United States,26,Touring-1000 42,Blue,99.612,167.4465,Touring Bikes,Bikes,5,Francisco Jimenez,3,167.4465,0,502.3395
SO71015,1,2023-05-23,2023-06-06,2023-05-28,10033,Carlos Alonso,7,France,France,8,Mountain-300 42,Red,512.131,803.8026,Mountain Bikes,Bikes,7,Andres Moya,3,803.8026,0,2411.4078
SO71016,1,2026-04-04,2026-04-18,2026-04-06,10007,Marta Romero,10,United Kingdom,United Kingdom,47,Short-Sleeve Classic Jersey,Blue,925.7895,1392.4849,Jerseys,Clothing,7,Andres Moya,3,1392.4849,0.02,4093.9056
SO71016,2,2026-04-04,2026-04-18,2026-04-06,10007,Marta Romero,10,United Kingdom,United Kingdom,39,Hydraulic Disc Brakes,Silver,443.9658,842.8227,Brakes,Components,7,Andres Moya,5,842.8227,0,4214.1135
SO71016,3,2026-04-04,2026-04-18,2026-04-06,10007,Marta Romero,10,United Kingdom,United Kingdom,25,Touring-1000 38,Blue,846.6571,1447.8925,Touring Bikes,Bikes,7,Andres Moya,5,1447.8925,0,7239.4625
SO71017,1,2024-06-05,2024-06-12,2024-06-12,10001,Alvaro Vazquez,9,Australia,Australia,28,Touring-2000 38,Silver,464.6547,879.9231,Touring Bikes,Bikes,4,Carmen Ortega,1,879.9231,0.1,791.9308
SO71017,2,2024-06-05,2024-06-12,2024-06-12,10001,Alvaro Vazquez,9,Australia,Australia,59,Front Light,Silver,981.9876,1852.8051,Lights,Accessories,4,Carmen Ortega,3,1852.8051,0.05,5280.4945
SO71017,3,2024-06-05,2024-06-12,2024-06-12,10001,Alvaro Vazquez,9,Australia,Australia,21,Road-350 46,Yellow,1182.4875,2144.0753,Road Bikes,Bikes,4,Carmen Ortega,6,2144.0753,0,12864.4518
SO71018,1,2024-09-07,2024-09-21,2024-09-14,10021,Victor Torres,7,France,France,13,Road-150 38,Black,465.2139,704.9794,Road Bikes,Bikes,7,Andres Moya,4,704.9794,0.1,2537.9258
SO71018,2,2024-09-07,2024-09-21,2024-09-14,10021,Victor Torres,7,France,France,25,Touring-1000 38,Blue,846.6571,1447.8925,Touring Bikes,Bikes,7,Andres Moya,6,1447.8925,0.1,7818.6195
SO71019,1,2023-12-23,2024-01-06,2023-12-30,10036,Sofia Fernandez,1,Northwest,United States,14,Road-150 42,Black,422.5875,616.4337,Road Bikes,Bikes,1,Jose Antonio Lopez,4,616.4337,0.05,2342.4481
SO71019,2,2023-12-23,2024-01-06,2023-12-30,10036,Sofia Fernandez,1,Northwest,United States,39,Hydraulic Disc Brakes,Silver,443.9658,842.8227,Brakes,Components,1,Jose Antonio Lopez,6,842.8227,0,5056.9362
SO71019,3,2023-12-23,2024-01-06,2023-12-30,10036,Sofia Fernandez,1,Northwest,United States,30,Touring-2000 46,Silver,826.2679,1492.0012,Touring Bikes,Bikes,1,Jose Antonio Lopez,4,1492.0012,0.02,5848.6447
SO71020,1,2024-03-13,2024-04-03,2024-03-16,10006,Rosa Moreno,5,Southeast,United States,53,Sport-100 Helmet,Blue,918.5753,1491.424,Helmets,Accessories,5,Francisco Jimenez,2,1491.424,0.1,2684.5632
SO71021,1,2024-09-27,2024-10-07,2024-09-30,10010,Pablo Ruiz,1,Northwest,United States,31,Touring-3000 38,,81.2865,145.7533,Touring Bikes,Bikes,1,Jose Antonio Lopez,5,145.7533,0,728.7665
SO71021,2,2024-09-27,2024-10-07,2024-09-30,10010,Pablo Ruiz,1,Northwest,United States,30,Touring-2000 46,Silver,826.2679,1492.0012,Touring Bikes,Bikes,1,Jose Antonio Lopez,4,1492.0012,0.1,5371.2043
SO71022,1,2026-03-24,2026-04-03,2026-03-31,10032,Victor Sanchez,7,France,France,42,ML Mountain Front Wheel,Red,953.614,1481.2448,Wheels,Components,7,Andres Moya,6,1481.2448,0,8887.4688
SO71022,2,2026-03-24,2026-04-03,2026-03-31,10032,Victor Sanchez,7,France,France,58,Chain Lock,Yellow,1137.1351,1536.7154,Locks,Accessories,7,Andres Moya,1,1536.7154,0.02,1505.9811
SO71023,1,2024-03-24,2024-04-03,2024-03-31,10004,Sergio Fernandez,9,Australia,Australia,30,Touring-2000 46,Silver,826.2679,1492.0012,Touring Bikes,Bikes,4,Carmen Ortega,2,1492.0012,0.02,2924.3224
SO71024,1,2025-12-23,2026-01-06,2025-12-30,10040,Isabel Ruiz,9,Australia,Australia,58,Chain Lock,Yellow,1137.1351,1536.7154,Locks,Accessories,7,Andres Moya,2,1536.7154,0.1,2766.0877
SO71024,2,2025-12-23,2026-01-06,2025-12-30,10040,Isabel Ruiz,9,Australia,Australia,56,Mountain Bottle Cage,Blue,1056.2854,1900.2567,Bottles and Cages,Accessories,7,Andres Moya,4,1900.2567,0.02,7449.0063
SO71024,3,2025-12-23,2026-01-06,2025-12-30,10040,Isabel Ruiz,9,Australia,Australia,17,Road-250 42,Black,669.1681,1202.9252,Road Bikes,Bikes,7,Andres Moya,2,1202.9252,0.1,2165.2654
SO71024,4,2025-12-23,2026-01-06,2025-12-30,10040,Isabel Ruiz,9,Australia,Australia,18,Road-250 46,Black,747.9459,1359.0358,Road Bikes,Bikes,7,Andres Moya,5,1359.0358,0.02,6659.2754
SO71025,1,2026-07-07,2026-07-17,2026-07-12,10029,Diego Gutierrez,2,Northeast,United States,18,Road-250 46,Black,747.9459,1359.0358,Road Bikes,Bikes,2,Marta Ruiz Soto,3,1359.0358,0,4077.1074
SO71025,2,2026-07-07,2026-07-17,2026-07-12,10029,Diego Gutierrez,2,Northeast,United States,58,Chain Lock,Yellow,1137.1351,1536.7154,Locks,Accessories,2,Marta Ruiz Soto,5,1536.7154,0,7683.577
SO71026,1,2023-10-11,2023-10-21,2023-10-14,10025,Pablo Torres,3,Central,United States,27,Touring-1000 46,Blue,647.9558,937.5185,Touring Bikes,Bikes,3,Alberto Fernandez,4,937.5185,0,3750.074
SO71027,1,2026-01-16,2026-02-06,2026-01-23,10004,Sergio Fernandez,4,Southwest,United States,58,Chain Lock,Yellow,1137.1351,1536.7154,Locks,Accessories,4,Carmen Ortega,5,1536.7154,0.1,6915.2193
SO71027,2,2026-01-16,2026-02-06,2026-01-23,10004,Sergio Fernandez,4,Southwest,United States,2,Mountain-100 42,Multi,305.1968,422.3078,Mountain Bikes,Bikes,4,Carmen Ortega,5,422.3078,0.02,2069.3082
SO71027,3,2026-01-16,2026-02-06,2026-01-23,10004,Sergio Fernandez,4,Southwest,United States,31,Touring-3000 38,,81.2865,145.7533,Touring Bikes,Bikes,4,Carmen Ortega,1,145.7533,0,145.7533
SO71027,4,2026-01-16,2026-02-06,2026-01-23,10004,Sergio Fernandez,4,Southwest,United States,20,Road-350 42,Yellow,798.597,1408.5981,Road Bikes,Bikes,4,Carmen Ortega,4,1408.5981,0.02,5521.7046
SO71028,1,2026-01-07,2026-01-17,2026-01-14,10015,Maria Lopez,5,Southeast,United States,2,Mountain-100 42,Multi,305.1968,422.3078,Mountain Bikes,Bikes,5,Francisco Jimenez,4,422.3078,0,1689.2312
SO71028,2,2026-01-07,2026-01-17,2026-01-14,10015,Maria Lopez,5,Southeast,United States,43,ML Mountain Pedal,Black,470.9493,780.614,Pedals,Components,5,Francisco Jimenez,6,780.614,0.02,4590.0103
SO71028,3,2026-01-07,2026-01-17,2026-01-14,10015,Maria Lopez,5,Southeast,United States,47,Short-Sleeve Classic Jersey,Blue,925.7895,1392.4849,Jerseys,Clothing,5,Francisco Jimenez,2,1392.4849,0.02,2729.2704
SO71028,4,2026-01-07,2026-01-17,2026-01-14,10015,Maria Lopez,5,Southeast,United States,59,Front Light,Silver,981.9876,1852.8051,Lights,Accessories,5,Francisco Jimenez,2,1852.8051,0.05,3520.3297
SO71029,1,2025-12-29,2026-01-05,2026-01-05,10038,Ana Gutierrez,10,United Kingdom,United Kingdom,42,ML Mountain Front Wheel,Red,953.614,1481.2448,Wheels,Components,1,Jose Antonio Lopez,4,1481.2448,0,5924.9792
SO71030,1,2025-08-03,2025-08-13,2025-08-05,10017,Pablo Lopez,7,France,France,30,Touring-2000 46,Silver,826.2679,1492.0012,Touring Bikes,Bikes,7,Andres Moya,3,1492.0012,0,4476.0036
SO71030,2,2025-08-03,2025-08-13,2025-08-05,10017,Pablo Lopez,7,France,France,49,Women's Mountain Shorts,Multi,1052.8857,1535.1425,Shorts,Clothing,7,Andres Moya,4,1535.1425,0,6140.57
SO71031,1,2025-05-13,2025-05-27,2025-05-15,10031,Ivan Martinez,1,Northwest,United States,15,Road-150 46,Black,66.4888,104.7634,Road Bikes,Bikes,1,Jose Antonio Lopez,6,104.7634,0,628.5804
SO71031,2,2025-05-13,2025-05-27,2025-05-15,10031,Ivan Martinez,1,Northwest,United States,50,Half-Finger Gloves,Yellow,917.9252,1472.911,Gloves,Clothing,1,Jose Antonio Lopez,6,1472.911,0,8837.466
SO71031,3,2025-05-13,2025-05-27,2025-05-15,10031,Ivan Martinez,1,Northwest,United States,49,Women's Mountain Shorts,Multi,1052.8857,1535.1425,Shorts,Clothing,1,Jose Antonio Lopez,1,1535.1425,0,1535.1425
SO71032,1,2024-02-13,2024-02-20,2024-02-16,10016,Rosa Martinez,3,Central,United States,37,Front Brakes,Red,897.8119,1457.4956,Brakes,Components,3,Alberto Fernandez,2,1457.4956,0.02,2856.6914
SO71033,1,2024-06-08,2024-06-22,2024-06-11,10039,Javier Diaz,10,United Kingdom,United Kingdom,20,Road-350 42,Yellow,798.597,1408.5981,Road Bikes,Bikes,2,Marta Ruiz Soto,1,1408.5981,0.05,1338.1682
SO71033,2,2024-06-08,2024-06-22,2024-06-11,10039,Javier Diaz,10,United Kingdom,United Kingdom,2,Mountain-100 42,Multi,305.1968,422.3078,Mountain Bikes,Bikes,2,Marta Ruiz Soto,3,422.3078,0.05,1203.5772
SO71034,1,2025-02-07,2025-02-28,2025-02-10,10005,Ruben Fernandez,10,United Kingdom,United Kingdom,45,HL Road Pedal,,1131.7806,1933.2737,Pedals,Components,4,Carmen Ortega,3,1933.2737,0.1,5219.839
SO71035,1,2026-05-14,2026-05-21,2026-05-16,10023,Ana Ramos,9,Australia,Australia,5,Mountain-200 42,Yellow,50.3097,72.0024,Mountain Bikes,Bikes,7,Andres Moya,5,72.0024,0.1,324.0108
SO71035,2,2026-05-14,2026-05-21,2026-05-16,10023,Ana Ramos,9,Australia,Australia,22,Road-550 38,,134.6867,197.5563,Road Bikes,Bikes,7,Andres Moya,1,197.5563,0.02,193.6052
SO71035,3,2026-05-14,2026-05-21,2026-05-16,10023,Ana Ramos,9,Australia,Australia,53,Sport-100 Helmet,Blue,918.5753,1491.424,Helmets,Accessories,7,Andres Moya,4,1491.424,0,5965.696
SO71036,1,2025-06-06,2025-06-20,2025-06-13,10010,Pablo Ruiz,7,France,France,40,LL Mountain Front Wheel,Red,618.7887,838.1775,Wheels,Components,7,Andres Moya,5,838.1775,0.02,4107.0697
SO71036,2,2025-06-06,2025-06-20,2025-06-13,10010,Pablo Ruiz,7,France,France,30,Touring-2000 46,Silver,826.2679,1492.0012,Touring Bikes,Bikes,7,Andres Moya,4,1492.0012,0.1,5371.2043
SO71036,3,2025-06-06,2025-06-20,2025-06-13,10010,Pablo Ruiz,7,France,France,38,Rear Brakes,Multi,707.7344,1301.3068,Brakes,Components,7,Andres Moya,3,1301.3068,0,3903.9204
SO71037,1,2024-05-17,2024-05-24,2024-05-22,10029,Diego Gutierrez,4,Southwest,United States,22,Road-550 38,,134.6867,197.5563,Road Bikes,Bikes,4,Carmen Ortega,1,197.5563,0.02,193.6052
SO71037,2,2024-05-17,2024-05-24,2024-05-22,10029,Diego Gutierrez,4,Southwest,United States,55,Water Bottle - 30 oz.,Yellow,399.1249,523.5266,Bottles and Cages,Accessories,4,Carmen Ortega,3,523.5266,0,1570.5798
SO71037,3,2024-05-17,2024-05-24,2024-05-22,10029,Diego Gutierrez,4,Southwest,United States,32,Touring-3000 42,,968.9793,1492.9053,Touring Bikes,Bikes,4,Carmen Ortega,2,1492.9053,0,2985.8106
SO71037,4,2024-05-17,2024-05-24,2024-05-22,10029,Diego Gutierrez,4,Southwest,United States,52,Classic Cap,Multi,616.5805,875.1415,Caps,Clothing,4,Carmen Ortega,3,875.1415,0,2625.4245
SO71038,1,2024-07-26,2024-08-09,2024-07-28,10034,Ivan Alvarez,4,Southwest,United States,47,Short-Sleeve Classic Jersey,Blue,925.7895,1392.4849,Jerseys,Clothing,4,Carmen Ortega,4,1392.4849,0.02,5458.5408
SO71038,2,2024-07-26,2024-08-09,2024-07-28,10034,Ivan Alvarez,4,Southwest,United States,36,ML Road Handlebars,Multi,558.7394,815.1606,Handlebars,Components,4,Carmen Ortega,2,815.1606,0.1,1467.2891
SO71039,1,2025-09-02,2025-09-23,2025-09-09,10002,Javier Diaz,2,Northeast,United States,26,Touring-1000 42,Blue,99.612,167.4465,Touring Bikes,Bikes,2,Marta Ruiz Soto,6,167.4465,0,1004.679
SO71039,2,2025-09-02,2025-09-23,2025-09-09,10002,Javier Diaz,2,Northeast,United States,20,Road-350 42,Yellow,798.597,1408.5981,Road Bikes,Bikes,2,Marta Ruiz Soto,6,1408.5981,0.05,8029.0092
SO71040,1,2025-01-25,2025-02-15,2025-01-30,10028,Victor Gutierrez,9,Australia,Australia,45,HL Road Pedal,,1131.7806,1933.2737,Pedals,Components,6,Silvia Castro,4,1933.2737,0,7733.0948
SO71040,2,2025-01-25,2025-02-15,2025-01-30,10028,Victor Gutierrez,9,Australia,Australia,20,Road-350 42,Yellow,798.597,1408.5981,Road Bikes,Bikes,6,Silvia Castro,3,1408.5981,0,4225.7943
SO71040,3,2025-01-25,2025-02-15,2025-01-30,10028,Victor Gutierrez,9,Australia,Australia,8,Mountain-300 42,Red,512.131,803.8026,Mountain Bikes,Bikes,6,Silvia Castro,6,803.8026,0,4822.8156
SO71041,1,2024-10-08,2024-10-15,2024-10-11,10013,Ruben Ruiz,4,Southwest,United States,47,Short-Sleeve Classic Jersey,Blue,925.7895,1392.4849,Jerseys,Clothing,4,Carmen Ortega,5,1392.4849,0.05,6614.3033
SO71041,2,2024-10-08,2024-10-15,2024-10-11,10013,Ruben Ruiz,4,Southwest,United States,39,Hydraulic Disc Brakes,Silver,443.9658,842.8227,Brakes,Components,4,Carmen Ortega,3,842.8227,0,2528.4681
SO71041,3,2024-10-08,2024-10-15,2024-10-11,10013,Ruben Ruiz,4,Southwest,United States,54,Aero Helmet,,1108.0844,2051.1707,Helmets,Accessories,4,Carmen Ortega,2,2051.1707,0,4102.3414
SO71042,1,2024-04-10,2024-04-24,2024-04-13,10020,Pablo Diaz,1,Northwest,United States,3,Mountain-100 46,Multi,136.4568,238.0353,Mountain Bikes,Bikes,1,Jose Antonio Lopez,1,238.0353,0.05,226.1335
SO71042,2,2024-04-10,2024-04-24,2024-04-13,10020,Pablo Diaz,1,Northwest,United States,19,Road-350 38,Yellow,242.862,325.856,Road Bikes,Bikes,1,Jose Antonio Lopez,6,325.856,0,1955.136
SO71042,3,2024-04-10,2024-04-24,2024-04-13,10020,Pablo Diaz,1,Northwest,United States,41,LL Road Front Wheel,Black,1035.4069,1440.9807,Wheels,Components,1,Jose Antonio Lopez,4,1440.9807,0,5763.9228
SO71043,1,2023-01-26,2023-02-09,2023-02-02,10031,Ivan Martinez,8,Germany,Germany,4,Mountain-200 38,Yellow,118.0225,183.307,Mountain Bikes,Bikes,8,Teresa Vidal,3,183.307,0.02,538.9226
SO71043,2,2023-01-26,2023-02-09,2023-02-02,10031,Ivan Martinez,8,Germany,Germany,8,Mountain-300 42,Red,512.131,803.8026,Mountain Bikes,Bikes,8,Teresa Vidal,1,803.8026,0.02,787.7265
SO71044,1,2025-10-04,2025-10-11,2025-10-06,10010,Pablo Ruiz,3,Central,United States,16,Road-250 38,Black,1168.1422,1783.894,Road Bikes,Bikes,3,Alberto Fernandez,1,1783.894,0.05,1694.6993
SO71045,1,2025-05-02,2025-05-12,2025-05-09,10029,Diego Gutierrez,8,Germany,Germany,20,Road-350 42,Yellow,798.597,1408.5981,Road Bikes,Bikes,8,Teresa Vidal,5,1408.5981,0.05,6690.841
SO71045,2,2025-05-02,2025-05-12,2025-05-09,10029,Diego Gutierrez,8,Germany,Germany,4,Mountain-200 38,Yellow,118.0225,183.307,Mountain Bikes,Bikes,8,Teresa Vidal,5,183.307,0.1,824.8815
SO71045,3,2025-05-02,2025-05-12,2025-05-09,10029,Diego Gutierrez,8,Germany,Germany,7,Mountain-300 38,Red,863.4832,1485.8776,Mountain Bikes,Bikes,8,Teresa Vidal,2,1485.8776,0.1,2674.5797
SO71045,4,2025-05-02,2025-05-12,2025-05-09,10029,Diego Gutierrez,8,Germany,Germany,14,Road-150 42,Black,422.5875,616.4337,Road Bikes,Bikes,8,Teresa Vidal,3,616.4337,0.1,1664.371
SO71046,1,2023-06-16,2023-06-26,2023-06-19,10012,Maria Ramos,9,Australia,Australia,1,Mountain-100 38,Multi,146.9273,256.3779,Mountain Bikes,Bikes,2,Marta Ruiz Soto,4,256.3779,0.02,1005.0014
SO71046,2,2023-06-16,2023-06-26,2023-06-19,10012,Maria Ramos,9,Australia,Australia,45,HL Road Pedal,,1131.7806,1933.2737,Pedals,Components,2,Marta Ruiz Soto,5,1933.2737,0.02,9473.0411
SO71047,1,2024-08-19,2024-08-26,2024-08-22,10019,Laura Dominguez,5,Southeast,United States,44,ML Road Pedal,Silver,642.0005,1208.6603,Pedals,Components,5,Francisco Jimenez,2,1208.6603,0,2417.3206
SO71048,1,2026-07-04,2026-07-14,2026-07-11,10008,Isabel Dominguez,9,Australia,Australia,59,Front Light,Silver,981.9876,1852.8051,Lights,Accessories,4,Carmen Ortega,3,1852.8051,0,5558.4153
SO71048,2,2026-07-04,2026-07-14,2026-07-11,10008,Isabel Dominguez,9,Australia,Australia,5,Mountain-200 42,Yellow,50.3097,72.0024,Mountain Bikes,Bikes,4,Carmen Ortega,1,72.0024,0,72.0024
SO71049,1,2024-09-21,2024-10-05,2024-09-28,10008,Isabel Dominguez,8,Germany,Germany,18,Road-250 46,Black,747.9459,1359.0358,Road Bikes,Bikes,8,Teresa Vidal,5,1359.0358,0.05,6455.42
SO71049,2,2024-09-21,2024-10-05,2024-09-28,10008,Isabel Dominguez,8,Germany,Germany,32,Touring-3000 42,,968.9793,1492.9053,Touring Bikes,Bikes,8,Teresa Vidal,4,1492.9053,0,5971.6212
SO71049,3,2024-09-21,2024-10-05,2024-09-28,10008,Isabel Dominguez,8,Germany,Germany,39,Hydraulic Disc Brakes,Silver,443.9658,842.8227,Brakes,Components,8,Teresa Vidal,1,842.8227,0.02,825.9662
SO71049,4,2024-09-21,2024-10-05,2024-09-28,10008,Isabel Dominguez,8,Germany,Germany,48,Men's Bib-Shorts,Blue,530.1968,833.5936,Shorts,Clothing,8,Teresa Vidal,3,833.5936,0.05,2375.7418
SO71050,1,2024-05-27,2024-06-03,2024-05-29,10015,Maria Lopez,10,United Kingdom,United Kingdom,37,Front Brakes,Red,897.8119,1457.4956,Brakes,Components,1,Jose Antonio Lopez,1,1457.4956,0,1457.4956
SO71050,2,2024-05-27,2024-06-03,2024-05-29,10015,Maria Lopez,10,United Kingdom,United Kingdom,31,Touring-3000 38,,81.2865,145.7533,Touring Bikes,Bikes,1,Jose Antonio Lopez,5,145.7533,0.1,655.8899
SO71050,3,2024-05-27,2024-06-03,2024-05-29,10015,Maria Lopez,10,United Kingdom,United Kingdom,29,Touring-2000 42,Silver,773.3997,1263.8665,Touring Bikes,Bikes,1,Jose Antonio Lopez,3,1263.8665,0,3791.5995
SO71051,1,2026-04-13,2026-05-04,2026-04-20,10006,Rosa Moreno,8,Germany,Germany,22,Road-550 38,,134.6867,197.5563,Road Bikes,Bikes,8,Teresa Vidal,3,197.5563,0.1,533.402
SO71051,2,2026-04-13,2026-05-04,2026-04-20,10006,Rosa Moreno,8,Germany,Germany,7,Mountain-300 38,Red,863.4832,1485.8776,Mountain Bikes,Bikes,8,Teresa Vidal,2,1485.8776,0,2971.7552
SO71051,3,2026-04-13,2026-05-04,2026-04-20,10006,Rosa Moreno,8,Germany,Germany,27,Touring-1000 46,Blue,647.9558,937.5185,Touring Bikes,Bikes,8,Teresa Vidal,6,937.5185,0.02,5512.6088
SO71051,4,2026-04-13,2026-05-04,2026-04-20,10006,Rosa Moreno,8,Germany,Germany,19,Road-350 38,Yellow,242.862,325.856,Road Bikes,Bikes,8,Teresa Vidal,6,325.856,0.02,1916.0333
SO71052,1,2026-01-31,2026-02-07,2026-02-07,10006,Rosa Moreno,6,Canada,Canada,8,Mountain-300 42,Red,512.131,803.8026,Mountain Bikes,Bikes,6,Silvia Castro,4,803.8026,0.05,3054.4499
